,title,year,certificate,runtime,genre,rating
4358,Gila,2022,UA,111 min,Romance            ,7.0
4359,Bujji Ila Raa,2022,A,120 min,Thriller            ,7.0
4360,Sreedharante Onnam Thirumurivu,1987,U,121 min,"Comedy, Drama, Romance            ",6.9
4361,Evanukku Engeyo Matcham Irukku,2018,A,148 min,Comedy            ,8.4
4362,Daayraa,1996,A,107 min,"Drama, Music, Romance            ",6.8
4363,Kabuliwala,1961,U,95 min,Drama            ,8.1
4364,Beintehaa,2013–2014,13+,24 min,"Comedy, Romance            ",7.1
4365,Love Sorries,2021,Not Rated,101 min,"Comedy, Drama, Romance            ",7.7
4366,Dassehra,2018,UA,131 min,"Action, Thriller            ",3.9
4367,Internet Wala Love,2018–2019,13,20 min,Romance            ,7.9
4368,Uphaar,1971,U,122 min,Family            ,6.5
4369,Mister,2017,UA,160 min,"Drama, Romance            ",6.2
4370,Reshma Aur Shera,1971,U,158 min,"Drama, Musical, Romance            ",7.4
4371,Joubone Amoni Kore,1998,U,168 min,Romance            ,4.4
4372,Anugraheethan Antony,2021,U,120 min,"Drama, Romance            ",6.0
4373,Kshana Kshanam,1991,U,158 min,"Comedy, Crime, Drama            ",7.2
4374,Eeshwar,1989,U,147 min,"Drama, Musical, Family            ",5.2
4375,Prayashaha,2022,UA,127 min,Thriller            ,5.3
4376,Hindustan Ki Kasam,1999,U,146 min,"Action, Drama            ",6.1
4377,Sutliyan,2022–,UA,167 min,Drama            ,4.5
4378,Mann Fakiraa,2020,UA,133 min,"Comedy, Drama, Romance            ",8.9
4379,Salaami,1994,15+,148 min,Adventure            ,5.9
4380,Jhankaar Beats,2003,A,143 min,"Comedy, Music, Romance            ",7.2
4381,Raam,2005,UA,154 min,"Action, Drama, Mystery            ",7.9
4382,Malli Malli Idhi Rani Roju,2015,UA,161 min,"Musical, Romance            ",7.3
4383,Rajadhi Raja,2014,UA,145 min,"Action, Comedy            ",2.1
4384,Jodi,2019,U,130 min,Romance            ,7.9
4385,Maanikya,2014,UA,165 min,"Action, Drama            ",9.3
4386,Roop Nagar Ke Cheetey,2022,UA,175 min,Drama            ,6.5
4387,Sharaabi,1984,UA,180 min,"Comedy, Drama, Romance            ",6.5
4388,Peace,II 2022,UA,128 min,"Comedy, Crime, Drama            ",4.8
4389,Haathi Mere Saathi,2021,UA,126 min,"Action, Drama            ",4.3
4390,Santhu Straight Forward,2016,U,159 min,"Action, Drama, Romance            ",7.2
4391,Oru Adaar Love,2019,UA,145 min,"Comedy, Romance            ",8.2
4392,Vinnaithaandi Varuvaayaa,2010,UA,157 min,"Drama, Romance            ",6.0
4393,Enpathukalile Ebhyamar,2021,U,113 min,"Action, Drama, Family            ",5.5
4394,Mosagallu,2021,UA,85 min,"Crime, Drama, Thriller            ",8.4
4395,Begusarai,2015–,U,22 min,"Action, Drama            ",5.2
4396,Ghar Ghar Ki Kahani,1988,U,155 min,"Comedy, Drama            ",7.7
4397,Darvinte Parinamam,2016,U,148 min,"Action, Comedy, Drama            ",7.2
4398,Itihaas,1997,A,154 min,"Action, Drama, Romance            ",8.9
4399,Jaatishwar,2014,U,150 min,"Biography, Drama, History            ",6.5
4400,Paramavatar Shri Krishna,2017–2020,UA,20 min,Drama            ,6.1
4401,Maaligai,2022,U,116 min,"Action, Drama, Thriller            ",3.9
4402,Maan Karate,2014,U,153 min,"Comedy, Drama            ",4.6
4403,Bombay Boys,1998,A,105 min,"Comedy, Crime, Drama            ",4.5
4404,Baazi,1951,U,143 min,"Crime, Drama, Musical            ",6.9
4405,Raja,I 1999,U,175 min,Family            ,5.8
4406,Naksha,2006,UA,128 min,"Action, Adventure, Fantasy            ",4.6
4407,Kudrat Ka Kanoon,1987,U,150 min,"Action, Drama, Thriller            ",5.9
4408,Warrior Savitri,2016,A,136 min,"Action, Thriller            ",6.0
4409,Tumse Achha Kaun Hai,1969,U,108 min,"Comedy, Drama, Romance            ",8.3
4410,Kaashi in Search of Ganga,2018,UA,125 min,Thriller            ,6.1
4411,Nagavalli,2010,A,158 min,"Action, Fantasy, Thriller            ",6.1
4412,Ongole Githa,2013,A,160 min,"Action, Comedy            ",5.2
4413,Krodhi,1981,U,159 min,"Action, Crime, Thriller            ",5.6
4414,Haqeeqat,1995,A,166 min,"Action, Drama, Romance            ",7.7
4415,RaJa Babu,2015,A,183 min,"Action, Comedy, Drama            ",6.6
4416,Eighteen Hours,2021,13,133 min,Thriller            ,8.8
4417,Drishya,2014,U,154 min,"Drama, Thriller            ",5.8
4418,Kal Ki Awaz,1992,U,162 min,Action            ,5.6
4419,Dharmaprabhu,2019,U,147 min,"Drama, Fantasy            ",3.5
4420,Fuddu,2016,A,100 min,"Comedy, Drama            ",6.9
4421,Jai Shri Krishna,2008–2009,7,22 min,"Biography, Fantasy            ",5.8
4422,Ilzaam,1986,A,164 min,"Drama, Family            ",6.7
4423,Kempe Gowda 2,2019,UA,139 min,"Action, Thriller            ",4.1
4424,Badi Door Se Aaye Hain,2014–2016,U,30 min,"Comedy, Drama, Fantasy            ",5.5
4425,R23 Criminals Diary,2021,UA,120 min,Crime            ,3.3
4426,Howrah Bridge,1958,U,153 min,"Musical, Thriller            ",7.6
4427,Sugarless,2022,U,130 min,Comedy            ,8.0
4428,Mumbai 125 KM 3D,2014,A,100 min,"Drama, Horror, Mystery            ",7.8
4429,Aflatoon,1997,UA,153 min,"Action, Comedy, Crime            ",1.8
4430,Kafan,1990,A,147 min,Horror            ,7.0
4431,Subarnarekha,1965,A,143 min,Drama            ,9.2
4432,Silambattam,2008,UA,166 min,Action            ,5.6
4433,Magalir Mattum,2017,U,140 min,Drama            ,4.7
4434,Kadamban,2017,U,142 min,"Action, Adventure, Drama            ",6.7
4435,Ab... Bas!,2004,A,137 min,"Romance, Thriller            ",6.1
4436,Gautamiputra Satakarni,2017,UA,131 min,"Action, History            ",7.6
4437,Nilaave Vaa,1998,U,139 min,"Action, Drama, Romance            ",6.8
4438,Chakravyuh: An Inspector Virkar Crime Thriller,2021–,Not Rated,28 min,"Crime, Thriller            ",6.9
4439,Iruttu,2019,UA,133 min,"Drama, Horror, Mystery            ",6.5
4440,Sisters,II 2020–2021,Not Rated,94 min,Comedy            ,8.3
4441,100,2021,UA,120 min,Thriller            ,5.5
4442,Dastak,1970,A,145 min,Drama            ,7.6
4443,FryDay,2018,UA,114 min,"Comedy, Drama            ",4.4
4444,Virginity Deal,2022,UA,115 min,Drama            ,7.1
4445,Ek Bhram - Sarvagun Sampanna,2019,PG,22 min,Drama            ,8.6
4446,Insaniyat,1994,A,180 min,"Action, Crime, Drama            ",6.2
4447,Gor Jeevan,2019,UA,141 min,Drama            ,7.0
4448,To Let,2019,U,99 min,Family            ,4.8
4449,Surakksha,1979,U,132 min,"Action, Adventure, Crime            ",6.2
4450,Bhajarangi,2013,A,172 min,"Action, Fantasy            ",6.1
4451,The Last Color,2019,A,90 min,Drama            ,6.9
4452,Premaloka,2021,U,154 min,"Drama, Romance            ",7.3
4453,Shesh Theke Shuru,2019,U,140 min,"Action, Drama, Romance            ",6.8
4454,Kavisamrat,2022,U,80 min,"Biography, Drama            ",5.6
4455,Singam,2010,UA,160 min,"Action, Crime, Thriller            ",8.2
4456,Vasoolraja M.B.B.S,2004,U,160 min,"Comedy, Drama            ",8.1
4457,Poove Unakkaga,1996,U,150 min,"Comedy, Drama, Romance            ",7.3
4458,Duniyadari,2013,UA,142 min,Drama            ,9.2
4459,Oruthee,2022,UA,135 min,"Drama, Family, Thriller            ",7.4
4460,Raajakumara,2017,UA,148 min,"Action, Drama            ",6.9
4461,Gehrayee,1980,A,135 min,"Drama, Horror            ",9.0
4462,Raana,2022,UA,120 min,Action            ,6.5
4463,Aadavaallu Meeku Johaarlu,2022,U,139 min,"Comedy, Drama, Family            ",8.4
4464,Night Out,IV 2019,UA,116 min,"Comedy, Thriller            ",6.1
4465,Abdullah,1980,U,136 min,"Action, Drama, Romance            ",6.9
4466,Koi Laut Ke Aaya Hai,2017,UA,45 min,"Mystery, Romance, Thriller            ",6.2
4467,Vadhayiyaan Ji Vadhayiyaan,2018,UA,122 min,Comedy            ,7.5
4468,Moonam Niyamam,2018,U,105 min,"Crime, Horror, Thriller            ",8.2
4469,Naram Garam,1981,U,122 min,"Comedy, Drama            ",8.1
4470,Kudumbavilakku,2020–,PG,22 min,Drama            ,7.5
4471,Aan Milo Sajna,1970,U,177 min,"Drama, Musical, Romance            ",5.7
4472,Kunwara Baap,1974,U,137 min,"Comedy, Drama            ",6.3
4473,Jodi No. 1,2001,U,180 min,"Comedy, Romance            ",5.6
4474,Mumbai Express,2005,A,152 min,"Action, Comedy            ",8.5
4475,Nala Damayanthi,2003,U,138 min,Comedy            ,9.8
4476,Intinti Gruhalakshmi,2020–,PG,22 min,Drama            ,7.6
4477,Chalo Premiddam,2021,UA,150 min,Romance            ,6.1
4478,Pasivadi Pranam,1987,U,140 min,"Action, Drama, Thriller            ",6.9
4479,Jung Baaz,1989,A,143 min,"Action, Crime            ",6.4
4480,Hamrahi,1963,U,149 min,"Drama, Family            ",7.5
4481,Daaka,2019,UA,136 min,Action            ,8.8
4482,Phulpakharu,2017–,UA,20 min,Drama            ,9.1
4483,Aviyal,2022,UA,125 min,"Drama, Family, Romance            ",4.6
4484,Aaghaaz,2000,U,153 min,"Action, Crime, Drama            ",5.4
4485,Balu,2005,U,169 min,"Action, Crime            ",6.2
4486,Guldasta,2020,U,106 min,Drama            ,5.6
4487,Thapki Pyar Ki 2,2021–,UA 13+,20 min,Drama            ,4.6
4488,Long Da Lishkara,1983,U,143 min,"Drama, Romance            ",4.1
4489,Venkatadri Express,2013,U,127 min,"Adventure, Comedy            ",3.9
4490,Mere Pyare Prime Minister,2018,UA,104 min,Drama            ,7.9
4491,Physics Teacher,2022,U,95 min,Thriller            ,6.3
4492,The Legend of Michael Mishra,2016,U,125 min,"Comedy, Drama            ",6.6
4493,Nikka Zaildar 2,2017,UA,150 min,"Comedy, Drama, Romance            ",5.5
4494,Tapasya,1976,U,133 min,"Drama, Family            ",6.2
4495,Laali Ki Shaadi Mein Laaddoo Deewana,2017,U,130 min,"Comedy, Drama, Musical            ",6.2
4496,1945,2022,U,122 min,"Action, Drama, History            ",3.3
4497,Warning,I 2013,A,109 min,"Adventure, Thriller            ",5.6
4498,Pon Manickavel,2020,UA,138 min,Action            ,7.1
4499,Amu,2005,(Banned),102 min,Drama            ,6.2
4500,A: Film by Upendra,1998,UA,150 min,Drama            ,7.4
4501,Elektra,2010,UA,131 min,"Documentary, Drama, Thriller            ",6.6
4502,Yoddha,1992,U,149 min,"Action, Comedy            ",5.1
4503,Moodar Koodam,2013,U,131 min,"Comedy, Drama, Thriller            ",7.9
4504,Badri,2000,U,158 min,"Comedy, Drama, Romance            ",6.0
4505,Maragadha Naanayam,2017,U,150 min,"Adventure, Comedy, Fantasy            ",7.9
4506,Pishachini,2022–,UA 13+,22 min,Horror            ,7.1
4507,CIA: Comrade in America,2017,U,134 min,"Action, Adventure, Drama            ",7.7
4508,Michael Madana Kama Rajan,1990,U,162 min,Comedy            ,9.3
4509,Akash Vaani,2022–,UA 7+,27 min,"Comedy, Romance            ",8.5
4510,Judaai,1997,U,167 min,"Comedy, Drama, Romance            ",6.9
4511,Down Underdogs,2022,UA 7+,57 min,"Documentary, Sport            ",7.3
4512,Super Nani,2014,U,133 min,"Comedy, Drama, Family            ",4.8
4513,Gharwali Baharwali,1998,U,138 min,Comedy            ,7.9
4514,Ruler,2019,UA,130 min,"Action, Drama            ",7.8
4515,Raktbeej,2022,UA,121 min,"Drama, Mystery, Thriller            ",6.8
4516,Sebastian PC 524,2022,UA,129 min,"Action, Thriller            ",5.9
4517,The Green Force Mission 14th March,2022,UA,106 min,"Action, Mystery, Thriller            ",2.3
4518,Chi Va Chi Sau Ka,2017,UA,134 min,Family            ,4.8
4519,Sanak Ek Junoon,2021–,UA 16+,24 min,Thriller            ,5.3
4520,Gaalib,2022,U,154 min,Drama            ,4.4
4521,Jaddi Sardar,2019,U,150 min,"Action, Drama, Romance            ",6.2
4522,Bhavachitra,2022,UA,146 min,"Mystery, Thriller            ",7.2
4523,Suryakantham,2019,U,139 min,"Comedy, Romance            ",6.2
4524,127 B,2017,UA,116 min,"Comedy, Horror            ",7.9
4525,Khilona,1970,U,160 min,"Drama, Musical, Romance            ",7.3
4526,Manam Kothi Paravai,2012,U,137 min,"Comedy, Romance            ",9.6
4527,Ghulaam,I 2017,12+,20 min,"Action, Crime, Drama            ",7.4
4528,Goko Mako,2019,U,96 min,"Adventure, Comedy, Drama            ",3.7
4529,Rakshadhikari Baiju Oppu,2017,U,162 min,"Comedy, Drama            ",4.9
4530,Pannaiyarum Padminiyum,2014,U,151 min,"Comedy, Drama            ",4.9
4531,Chandra Mukhi,1993,U,152 min,"Comedy, Fantasy, Romance            ",4.1
4532,Boot Polish,1954,U,149 min,"Comedy, Drama, Family            ",5.2
4533,Droh Kaal,1994,A,162 min,"Drama, Thriller            ",7.9
4534,Manjakuruvi,2022,UA 13+,128 min,Action            ,7.8
4535,Pilla Zamindar,2011,U,148 min,"Comedy, Drama            ",7.3
4536,Rann,2010,UA,137 min,"Drama, Mystery, Thriller            ",7.5
4537,Game Over,IV 2017,A,140 min,Thriller            ,6.3
4538,Jawab Hum Denge,1987,U,135 min,Action            ,6.3
4539,Gang,2000,A,167 min,"Action, Crime, Drama            ",5.5
4540,Garam Masala,1972,U,129 min,"Comedy, Musical, Action            ",5.3
4541,Gypsy,2020,A,145 min,Drama            ,5.4
4542,Savdhaan India - F.I.R.,2018–,15+,45 min,Crime            ,4.8
4543,The Murderer: Hamilton Palace,2011,A,108 min,"Action, Drama, Mystery            ",6.7
4544,Pratibandh,1990,A,159 min,"Action, Drama            ",9.9
4545,Lal Patthar,1971,U,148 min,Drama            ,6.3
4546,Midhunam,1993,U,147 min,"Comedy, Drama, Musical            ",6.5
4547,Naadodigal,2009,U,161 min,"Action, Comedy, Drama            ",6.0
4548,Pizza II: Villa,2013,UA,102 min,"Horror, Thriller            ",3.8
4549,Bhoot,2003,A,113 min,"Horror, Mystery, Thriller            ",4.5
4550,Laila Majnu,II 1976,UA,140 min,"Drama, Musical, Romance            ",7.9
4551,Sabaash Chandrabose,2022,U,124 min,Comedy            ,7.6
4552,Porus,2017–2021,UA,22 min,"History, War            ",4.8
4553,Main Te Bapu,2022,U,102 min,"Comedy, Drama            ",7.0
4554,Naajayaz,1995,UA,157 min,"Action, Drama            ",6.6
4555,Bullets,2021–,Not Rated,131 min,Action            ,5.7
4556,Metro,2016,A,119 min,"Action, Crime, Thriller            ",7.1
4557,Guns of Banaras,2020,UA,134 min,Action            ,8.1
4558,Aar Ya Paar,1997,A,180 min,Thriller            ,6.5
4559,Stalin,2006,UA,168 min,"Action, Drama            ",6.3
4560,Gurkha,2019,U,144 min,"Action, Comedy            ",8.7
4561,Super Model,2013,A,83 min,"Drama, Mystery, Romance            ",5.8
4562,Doddmane Hudga,2016,UA,136 min,"Action, Drama            ",7.6
4563,Comedy Couple,2020,A,117 min,"Comedy, Romance            ",7.5
4564,Red: The Dark Side,2007,A,148 min,"Drama, Romance, Thriller            ",8.1
4565,Vanaprastham,1999,U,119 min,Drama            ,5.6
4566,Babu Bangaram,2016,UA,150 min,"Action, Comedy            ",4.3
4567,Annadurai,2017,UA,129 min,"Action, Drama            ",8.3
4568,Anupama: Namaste America,2022,UA 13+,20 min,Drama            ,6.2
4569,Bin Bulaye Baraati,2011,UA,133 min,"Action, Comedy, Crime            ",5.7
4570,Kal Aaj Aur Kal,1971,U,156 min,"Family, Musical, Romance            ",4.8
4571,Kala Pani,1958,U,164 min,"Crime, Musical, Romance            ",6.5
4572,Pratighatana,1985,A,180 min,Drama            ,7.0
4573,Immaan Dharam,1977,U,156 min,"Action, Drama            ",8.0
4574,Meendum Oru Kadhal Kadhai,2016,U,144 min,"Drama, Musical, Romance            ",5.5
4575,Guru,1980,U,159 min,"Action, Crime, Drama            ",6.8
4576,Welcome to Sajjanpur,2008,U,133 min,"Comedy, Drama            ",8.8
4577,Guru Shishyaru,1981,U,148 min,Comedy            ,6.6
4578,Virgin Story,2022,UA,141 min,"Comedy, Drama, Romance            ",7.1
4579,Play Back,2021,UA,138 min,"Crime, Fantasy, Romance            ",3.1
4580,Raat Baaki Hai,2021,U,100 min,"Drama, Thriller            ",8.9
4581,Kirayadar,1986,U,146 min,"Comedy, Drama            ",4.3
4582,Mentalhood,2020–,UA,24 min,Drama            ,7.3
4583,LKG,2019,U,124 min,Comedy            ,6.3
4584,Cameraman Gangatho Rambabu,2012,UA,148 min,"Action, Drama            ",7.2
4585,Manmatha Leelai,1976,A,161 min,"Comedy, Drama, Romance            ",5.8
4586,Rosh,2022,UA,122 min,Thriller            ,6.6
4587,Joi Baba Felunath,1979,U,112 min,"Adventure, Crime, Family            ",6.0
4588,Ramyug,2021–,Not Rated,37 min,"Short, Action, Drama            ",7.2
4589,Sanga Thamizhan,2019,UA,147 min,Action            ,6.3
4590,Welcome Zindagi,2015,UA,135 min,"Comedy, Drama            ",5.2
4591,Amma Nanna O Tamila Ammayi,2003,U,154 min,"Action, Drama, Sport            ",4.9
4592,Anandham Vilayadum Veedu,2021,U,147 min,Drama            ,8.9
4593,Aurat,1967,U,149 min,"Comedy, Drama            ",4.2
4594,Diwanji Moola Grand Prix,2018,U,124 min,"Comedy, Sport, Thriller            ",8.6
4595,Sandwiched Forever,2020–,18,30 min,Comedy            ,5.7
4596,Parasmani,1963,U,137 min,"Adventure, Drama, Fantasy            ",9.2
4597,Inkenti Nuvve Cheppu,2017,A,124 min,"Comedy, Romance            ",7.4
4598,Thipkyanchi Rangoli,2021–,UA 13+,30 min,Drama            ,6.6
4599,Ki Kore Toke Bolbo,2016,UA,144 min,"Comedy, Romance            ",6.1
4600,Pen Vilai Verum 999 Rubai Mattume,2022,UA 13+,120 min,Crime            ,7.3
4601,The Power,I 2021,UA,154 min,"Action, Crime, Drama            ",7.8
4602,Yenni Thuniga,2022,UA,144 min,Action            ,9.8
4603,Paradesi,2013,U,126 min,"Drama, History            ",8.8
4604,Mike,2022,UA,108 min,Drama            ,5.7
4605,Disco Dancer,1982,U,135 min,"Drama, Musical, Romance            ",7.9
4606,Chhota Bheem,2008–,U,15 min,"Animation, Action, Adventure            ",7.4
4607,Polladhavan,2007,A,150 min,"Action, Crime, Drama            ",6.4
4608,Beiimaan Love,2016,A,120 min,"Drama, Romance, Thriller            ",7.4
4609,Kadaikutty Singam,2018,U,149 min,"Action, Drama            ",6.9
4610,Aadavari Matalaku Ardhalu Verule,2007,U,157 min,"Comedy, Drama, Romance            ",7.4
4611,Amar,1954,U,149 min,"Drama, Musical, Romance            ",6.4
4612,Vatsalyam,1993,U,156 min,Drama            ,8.1
4613,Mercury,II 2018,U,106 min,"Horror, Thriller            ",9.2
4614,Veer Gomtesha,2021,U,134 min,Drama            ,6.7
4615,The Nudity,2020,All,80 min,Documentary            ,7.4
4616,Nenu Leni Naa Premakatha,2021,U,123 min,Drama            ,6.5
4617,Vijay Superum Pournamiyum,2019,U,135 min,"Comedy, Drama            ",5.7
4618,Not Reachable,2022,UA,120 min,Crime            ,9.6
4619,Patthar Ke Sanam,1967,U,136 min,"Action, Drama, Musical            ",8.3
4620,Santosham,2002,U,150 min,"Drama, Romance            ",6.0
4621,Bhadra,2005,A,153 min,"Action, Drama, Romance            ",6.5
4622,Idhe Maa Katha,2021,Not Rated,143 min,Adventure            ,5.6
4623,Devadasu,1953,U,191 min,"Drama, Musical, Romance            ",7.7
4624,Rakshasi,2017,A,135 min,Horror            ,6.9
4625,Bhaag Beanie Bhaag,2020–,16,29 min,Comedy            ,5.9
4626,Vidheyan,1994,U,112 min,Drama            ,7.6
4627,Idolle Ramayana,2016,U,111 min,Drama            ,5.2
4628,Sabhash Ramudu,1959,U,183 min,Drama            ,4.0
4629,Shaitani Ilaaka,1990,A,128 min,Horror            ,7.7
4630,Pugazh,2016,U,126 min,"Action, Drama            ",8.8
4631,Nenjamundu Nermaiyundu Odu Raja,2019,U,118 min,"Comedy, Drama            ",6.7
4632,Story 9 Months Ki,2020–,12+,22 min,Romance            ,6.7
4633,Anth,1994,A,136 min,Action            ,5.8
4634,Andaz,1994,U,167 min,"Action, Comedy, Drama            ",2.8
4635,Vel,2007,U,160 min,"Action, Comedy, Drama            ",6.0
4636,Kanna Laddu Thinna Aasaiya,2013,U,135 min,Comedy            ,6.8
4637,Rudaali,1993,U,128 min,Drama            ,7.0
4638,Adi Shankaracharya,1983,U,130 min,"Biography, Drama            ",7.1
4639,Dasharatham,1989,A,154 min,"Comedy, Drama            ",5.8
4640,Maqsad,1984,U,166 min,"Action, Crime            ",2.7
4641,Kaun Kare Kurbanie,1991,A,154 min,"Action, Crime, Drama            ",8.4
4642,Police Police,2010,A,142 min,Action            ,7.4
4643,Villain,III 2018,U,132 min,Action            ,5.6
4644,Bekaaboo,2019–,A,20 min,Thriller            ,7.4
4645,Dosti,1964,All,163 min,"Drama, Family, Musical            ",5.5
4646,Ajooba,1991,U,178 min,"Action, Adventure, Comedy            ",5.3
4647,Sasural Simar Ka,2011–2018,13+,22 min,"Drama, Fantasy            ",8.4
4648,Badrinath,2011,A,140 min,"Action, Drama, Romance            ",9.2
4649,Mirchi,2013,A,155 min,"Action, Drama            ",6.5
4650,The Trip,VII 2021,UA 13+,94 min,Drama            ,8.8
4651,Armaan,2003,U,158 min,"Drama, Family, Romance            ",4.6
4652,Needhi Naadhi Oke Katha,2018,U,121 min,Drama            ,8.2
4653,Vella Raja,2018–2019,18,24 min,"Action, Crime, Drama            ",7.5
4654,Ramji Rav Speaking,1989,Unrated,150 min,"Comedy, Thriller            ",7.1
4655,Aaha Kalyanam,2014,UA,142 min,"Comedy, Romance            ",8.2
4656,Raju Kannada Medium,2018,UA,159 min,"Comedy, Drama            ",6.1
4657,Laung Laachi,2018,UA,137 min,"Comedy, Drama            ",7.1
4658,Oohalu Gusagusalade,2014,U,128 min,"Comedy, Romance            ",4.7
4659,Zabardast,2007,U,136 min,"Action, Adventure, Drama            ",1.8
4660,Clerk,1989,U,165 min,"Action, Crime, Drama            ",6.3
4661,Baa Baaa Black Sheep,2018,UA,103 min,"Action, Comedy, Crime            ",7.2
4662,Hum Dono,1961,U,164 min,"Drama, Musical, Romance            ",7.1
4663,Rickshawala,II 2021,16,50 min,Drama            ,7.9
4664,Vaastu Shastra,2004,A,106 min,"Horror, Mystery            ",8.1
4665,Albela,1951,U,158 min,"Comedy, Drama, Musical            ",7.5
4666,Meendum,I 2021,UA,127 min,"Crime, Drama            ",9.1
4667,Sri Jagannatha Daasaru,2021,U,130 min,Biography            ,6.6
4668,Tarazu,1997,A,144 min,"Action, Crime, Drama            ",5.6
4669,Marte Dam Tak,1987,A,155 min,"Action, Drama            ",1.7
4670,Guptodhoner Sondhane,2018,U,130 min,Adventure            ,7.6
4671,Mamta,1966,U,150 min,"Drama, Romance            ",3.7
4672,The Killer,III 2021,UA,90 min,Horror            ,5.1
4673,Baaghi,2000,A,156 min,"Action, Crime, Drama            ",4.2
4674,Inquilaab,1984,A,152 min,"Action, Drama, Thriller            ",7.8
4675,Gujjubhai the Great,2015,U,145 min,Comedy            ,6.3
4676,Aadu 2,2017,U,160 min,Comedy            ,7.6
4677,3 Deewarein,2003,A,115 min,"Crime, Drama            ",5.1
4678,Ram Siya Ke Luv Kush,2019–,13+,60 min,Drama            ,7.1
4679,NERD - Neither Either Really Dead,2019–,UA,25 min,Drama            ,5.5
4680,Ingine Oru Nilapakshi,2000,Unrated,148 min,Musical            ,4.6
4681,Kitakitalu,2006,UA,150 min,"Comedy, Drama            ",7.1
4682,Babloo Bachelor,2021,UA,130 min,Comedy            ,7.4
4683,Sri Madvirat Veera Brahmendra Swamy Charitra,1984,U,173 min,"Drama, History, Musical            ",7.9
4684,Kushti,2010,U,121 min,"Comedy, Sport            ",8.1
4685,Bujjigaadu: Made in Chennai,2008,A,150 min,"Action, Drama, Romance            ",7.6
4686,Kuchh Bheege Alfaaz,2018,UA,116 min,Romance            ,6.5
4687,Pehchaan,1993,A,138 min,"Action, Drama, Thriller            ",5.5
4688,K-13,2019,UA,103 min,"Action, Drama, Mystery            ",5.4
4689,Jivachi Hotiya Kahili,2022,UA,20 min,"Short, Drama, Romance            ",6.1
4690,Village Rockstars,2017,U,87 min,Drama            ,5.6
4691,Gunahon Ka Faisla,1988,A,169 min,Action            ,8.3
4692,Khatarnaak,1990,A,223 min,"Action, Crime, Drama            ",6.4
4693,Punyalan Private Limited,2017,U,129 min,Comedy            ,8.1
4694,Khoj,1989,U,113 min,"Mystery, Thriller            ",5.5
4695,Gorilla,2019,U,128 min,Comedy            ,8.5
4696,Bioscopewala,2017,UA,91 min,Drama            ,7.6
4697,I Love You,II 2004,U,120 min,"Action, Drama, Romance            ",6.2
4698,Chander Pahar,2013,UA,148 min,"Action, Adventure, Mystery            ",5.4
4699,Janaki Ramudu,1988,U,133 min,"Drama, Romance            ",7.5
4700,Confessions of a Cuckoo,2021,UA,97 min,Drama            ,6.6
4701,Urf Ghanta,2021,A,82 min,"Comedy, Drama            ",6.3
4702,Qurbaan Hua,2020–,U,23 min,Drama            ,8.9
4703,Golondaaj,2021,U,150 min,Sport            ,3.5
4704,Devaki,2019,UA,129 min,Thriller            ,5.1
4705,Balika Vadhu 2,2021–,UA 13+,20 min,Drama            ,6.1
4706,Mehboob Ki Mehndi,1971,U,151 min,"Drama, Musical, Romance            ",6.9
4707,Shikar,1968,U,139 min,"Mystery, Thriller            ",6.1
4708,MCA Middle Class Abbayi,2017,UA,144 min,"Action, Comedy            ",8.3
4709,Veeram,2014,U,161 min,"Action, Drama            ",4.6
4710,Saiyar Mori Re,2022,U,165 min,Romance            ,4.5
4711,Puli,2015,U,155 min,"Action, Adventure, Fantasy            ",8.3
4712,Aanandam,2016,U,120 min,"Adventure, Comedy, Drama            ",7.9
4713,MTV Nishedh,2020–,16,30 min,Drama            ,8.0
4714,My Santa,2019,U,153 min,"Comedy, Drama, Fantasy            ",3.8
4715,Nandanam,2002,U,145 min,"Comedy, Drama, Romance            ",9.1
4716,Solo Brathuke So Better,2020,U,122 min,"Comedy, Drama, Romance            ",4.3
4717,Lokkhi Chele (An Angel's Kiss),2022,U,120 min,Drama            ,7.6
4718,Veergati,1995,UA,166 min,"Action, Drama            ",6.1
4719,Angaaray,1998,A,141 min,"Action, Crime, Drama            ",7.3
4720,Laabam,2021,U,144 min,"Action, Drama            ",4.4
4721,Vijetha,1985,U,107 min,"Drama, Family, Romance            ",7.3
4722,Yehi Hai Zindagi,1977,U,133 min,"Comedy, Drama            ",5.4
4723,Trivikrama,2022,UA,151 min,"Comedy, Drama, Romance            ",7.6
4724,Bombai Ka Babu,1960,U,154 min,"Drama, Musical, Romance            ",6.5
4725,Bhojpuriya Raja,2016,A,137 min,"Action, Drama            ",7.8
4726,Unkahee,2020,UA,41 min,"Short, Crime, Drama            ",5.7
4727,Thodari,2016,U,168 min,"Action, Romance, Thriller            ",6.4
4728,Jurmana,1979,U,139 min,"Drama, Romance            ",6.6
4729,Chola,2019,UA,120 min,"Drama, Thriller            ",8.0
4730,Salaakhen,1975,U,129 min,"Action, Thriller            ",4.4
4731,Mithila Makhaan,2019,UA,131 min,Drama            ,8.1
4732,Jivan Sandhya,2021,U,139 min,"Drama, Family            ",5.7
4733,Triple Seat,2019,U,126 min,"Family, Romance            ",6.7
4734,Bombay,2022,UA,135 min,Action            ,3.1
4735,Chala Murari Hero Banne,1977,U,128 min,"Comedy, Musical, Romance            ",6.3
4736,Gippi,2013,UA,95 min,"Comedy, Drama            ",6.6
4737,Luv Ni Love Storys,2020,U,142 min,"Drama, Romance            ",6.0
